airfoil,Re,alpha,xfoil_converged,CL_xfoil,CD_xfoil,CL_nf,CD_nf,CD_spread5_counts
s3025,5000000.0,-2.0,1,0.1814,0.00581,0.18109221605951514,0.005645160955411212,1.6960429767625371
s3025,5000000.0,0.0,1,0.4043,0.00506,0.40216605478574846,0.005152107621205441,3.742863538014618
s3025,5000000.0,2.0,1,0.6209,0.00437,0.6133950038234423,0.004459945733998785,6.882980362155101
s3025,5000000.0,6.0,1,1.0422,0.00763,1.0327219730387873,0.008464129193695972,7.890314568428265
s3025,5000000.0,10.0,1,1.4224,0.01267,1.4111907261630543,0.013563774593902473,10.357566568330885
goe303,1000000.0,-2.0,1,0.4197,0.00907,0.41565530948068374,0.008097189850475951,3.529972503743886
goe303,1000000.0,0.0,1,0.6425,0.00826,0.6407088856672832,0.007998534740253535,2.0450613327241407
goe303,1000000.0,2.0,1,0.8623,0.00668,0.8644259722362919,0.006660313301030951,10.21433807297474
goe303,1000000.0,6.0,1,1.2741,0.01033,1.2862741878790385,0.00952036204783122,3.460181582836536
goe303,1000000.0,10.0,1,1.6245,0.01561,1.6295731007565808,0.015084676303179435,12.084825329620601
fx60100,1000000.0,-2.0,1,0.2869,0.00568,0.2858333678870254,0.0054517822973235595,10.803653362159048
fx60100,1000000.0,0.0,1,0.5108,0.00583,0.5125128326123805,0.005586808118072221,3.039599461066829
fx60100,1000000.0,2.0,1,0.7303,0.00679,0.7345727968083948,0.006397555965265075,4.29475939474764
fx60100,1000000.0,6.0,1,1.1371,0.01107,1.1440208003128156,0.010629347791405768,6.588414289388899
fx60100,1000000.0,10.0,1,1.4969,0.01932,1.5147873204034459,0.017953690371242677,7.64264658405421
fx60100,200000.0,-2.0,1,0.2535,0.01248,0.26091134884643197,0.012262842470884834,8.457901573506854
fx60100,200000.0,0.0,1,0.5024,0.01139,0.5081701116822741,0.011222094140180194,11.914287049543706
fx60100,200000.0,2.0,1,0.7156,0.01029,0.718963514144229,0.010482636144348504,7.4510535725926665
fx60100,200000.0,6.0,1,1.1093,0.0142,1.1206057324957435,0.014226670999193355,9.138218737175293
fx60100,200000.0,10.0,1,1.3834,0.03024,1.39186208882171,0.031145145946287544,9.624327429054238
fx60100,5000000.0,-2.0,1,0.2817,0.00579,0.28757827316052603,0.004575694927149001,7.257448809851307
fx60100,5000000.0,0.0,1,0.5093,0.0057,0.5139190579047959,0.004654380524332264,2.12473935716136
fx60100,5000000.0,2.0,1,0.7314,0.00677,0.7364976076046055,0.005516594644719869,2.2073158618257214
fx60100,5000000.0,6.0,1,1.1698,0.00903,1.1664040920852956,0.009116501717458588,2.008488636938335
fx60100,5000000.0,10.0,1,1.5625,0.01411,1.5604690337478746,0.014436529096278449,6.882470605560596
rae101,5000000.0,-2.0,1,-0.219,0.00474,-0.21850752997778994,0.004841451142454684,3.389055291793466
rae101,5000000.0,0.0,1,-0.0,0.00445,6.661338147750939e-16,0.004425093043142639,2.4168070457769413
rae101,5000000.0,2.0,1,0.219,0.00474,0.21850752997779022,0.004841451142454689,3.3890552917935097
rae101,5000000.0,6.0,1,0.6392,0.00683,0.6451012685954673,0.006942474409675549,4.178956951530954
rae101,5000000.0,10.0,1,1.0976,0.01064,1.0982870383461765,0.010807146445935804,4.098462189701703
goe303,5000000.0,-2.0,1,0.422,0.00641,0.42016351669742347,0.0060664030123009655,2.6990736930242263
goe303,5000000.0,0.0,1,0.6511,0.00631,0.6483414204441778,0.0061123799392469045,3.261175912355795
goe303,5000000.0,2.0,1,0.8761,0.00665,0.8714282301273204,0.006485752465609905,2.0337216670522977
goe303,5000000.0,6.0,1,1.3034,0.00777,1.2981830172094573,0.007508071442220856,1.4506061247783129
goe303,5000000.0,10.0,1,1.6718,0.01311,1.6711039273282131,0.01272213618303165,2.8455577709714417
e226,200000.0,-2.0,1,-0.1507,0.01002,-0.13922150848164377,0.00998577551364046,8.435681851639234
e226,200000.0,0.0,1,0.1394,0.00953,0.14543662963980392,0.00921986135568982,10.692664834728895
e226,200000.0,2.0,1,0.4257,0.00919,0.41341263658147165,0.009485532259542379,13.97867831432465
e226,200000.0,6.0,1,0.7615,0.01333,0.7562113561838741,0.014342105630345266,25.39883136351435
e226,200000.0,10.0,1,1.0366,0.03615,1.0165703860310469,0.04305645296201191,62.86648256496704
e226,1000000.0,-2.0,1,-0.104,0.00559,-0.10449912652082743,0.005717342826454451,8.521967440846554
e226,1000000.0,0.0,1,0.1101,0.00496,0.10808994757347029,0.005006047782174421,6.746905604834161
